No.,Kode Provinsi,Nama Provinsi,Tahun,Konsumsi Energi (kkal/kap/hari)
137,11,Aceh,2022,2064
138,12,Sumatera Utara,2022,2123
139,13,Sumatera Barat,2022,2109
140,14,Riau,2022,2022
141,15,Jambi,2022,2070
142,16,Sumatera Selatan,2022,2182
143,17,Bengkulu,2022,2038
144,18,Lampung,2022,2003
145,19,Kepulauan Bangka Belitung,2022,2066
146,21,Kepulauan Riau,2022,2020
147,31,DKI Jakarta,2022,2147
148,32,Jawa Barat,2022,2116
149,33,Jawa Tengah,2022,2003
150,34,DI Yogyakarta,2022,2024
151,35,Jawa Timur,2022,2042
152,36,Banten,2022,2270
153,51,Bali,2022,2146
154,52,Nusa Tenggara Barat,2022,2460
155,53,Nusa Tenggara Timur,2022,1974
156,61,Kalimantan Barat,2022,1892
157,62,Kalimantan Tengah,2022,2116
158,63,Kalimantan Selatan,2022,2189
159,64,Kalimantan Timur,2022,1974
160,65,Kalimantan Utara,2022,1858
161,71,Sulawesi Utara,2022,2155
162,72,Sulawesi Tengah,2022,2001
163,73,Sulawesi Selatan,2022,2078
164,74,Sulawesi Tenggara,2022,1949
165,75,Gorontalo,2022,1958
166,76,Sulawesi Barat,2022,2083
167,81,Maluku,2022,1837
168,82,Maluku Utara,2022,1844
169,91,Papua Barat,2022,1880
170,94,Papua,2022,1902
171,11,Aceh,2023,2053
172,12,Sumatera Utara,2023,2094
173,13,Sumatera Barat,2023,2086
174,14,Riau,2023,2048
175,15,Jambi,2023,2043
176,16,Sumatera Selatan,2023,2191
177,17,Bengkulu,2023,2060
178,18,Lampung,2023,2096
179,19,Kepulauan Bangka Belitung,2023,2059
180,21,Kepulauan Riau,2023,2048
181,31,DKI Jakarta,2023,2158
182,32,Jawa Barat,2023,2110
183,33,Jawa Tengah,2023,2025
184,34,DI Yogyakarta,2023,2053
185,35,Jawa Timur,2023,2068
186,36,Banten,2023,2207
187,51,Bali,2023,2264
188,52,Nusa Tenggara Barat,2023,2485
189,53,Nusa Tenggara Timur,2023,1938
190,61,Kalimantan Barat,2023,1920
191,62,Kalimantan Tengah,2023,2134
192,63,Kalimantan Selatan,2023,2167
193,64,Kalimantan Timur,2023,2009
194,65,Kalimantan Utara,2023,1891
195,71,Sulawesi Utara,2023,2105
196,72,Sulawesi Tengah,2023,2055
197,73,Sulawesi Selatan,2023,2110
198,74,Sulawesi Tenggara,2023,2019
199,75,Gorontalo,2023,1996
200,76,Sulawesi Barat,2023,2100
201,81,Maluku,2023,1820
202,82,Maluku Utara,2023,1823
203,91,Papua Barat,2023,1860
204,94,Papua,2023,1903
205,11,Aceh,2024,1990
206,12,Sumatera Utara,2024,2042
207,13,Sumatera Barat,2024,2033
208,14,Riau,2024,2017
209,15,Jambi,2024,2012
210,16,Sumatera Selatan,2024,2196
211,17,Bengkulu,2024,2032
212,18,Lampung,2024,2006
213,19,Kepulauan Bangka Belitung,2024,1992
214,21,Kepulauan Riau,2024,2050
215,31,DKI Jakarta,2024,2073
216,32,Jawa Barat,2024,2070
217,33,Jawa Tengah,2024,1993
218,34,DI Yogyakarta,2024,2016
219,35,Jawa Timur,2024,2046
220,36,Banten,2024,2184
221,51,Bali,2024,2295
222,52,Nusa Tenggara Barat,2024,2419
223,53,Nusa Tenggara Timur,2024,1930
224,61,Kalimantan Barat,2024,1903
225,62,Kalimantan Tengah,2024,2051
226,63,Kalimantan Selatan,2024,2198
227,64,Kalimantan Timur,2024,1950
228,65,Kalimantan Utara,2024,1870
229,71,Sulawesi Utara,2024,2012
230,72,Sulawesi Tengah,2024,2033
231,73,Sulawesi Selatan,2024,2064
232,74,Sulawesi Tenggara,2024,1955
233,75,Gorontalo,2024,1938
234,76,Sulawesi Barat,2024,2069
235,81,Maluku,2024,1792
236,82,Maluku Utara,2024,1801
237,92,Papua Barat,2024,1770
238,91,Papua,2024,1783
239,96,Papua Barat Daya,2024,1890
240,94,Papua Tengah,2024,1696
241,95,Papua Pegunungan,2024,2190
242,93,Papua Selatan,2024,1791
243,11,Aceh,2025,2028
244,12,Sumatera Utara,2025,2070
245,13,Sumatera Barat,2025,2079
246,14,Riau,2025,2034
247,15,Jambi,2025,2040
248,16,Sumatera Selatan,2025,2202
249,17,Bengkulu,2025,2060
250,18,Lampung,2025,2038
251,19,Kepulauan Bangka Belitung,2025,2033
252,21,Kepulauan Riau,2025,2118
253,31,DKI Jakarta,2025,2086
254,32,Jawa Barat,2025,2085
255,33,Jawa Tengah,2025,2028
256,34,DI Yogyakarta,2025,2066
257,35,Jawa Timur,2025,2092
258,36,Banten,2025,2148
259,51,Bali,2025,2224
260,52,Nusa Tenggara Barat,2025,2448
261,53,Nusa Tenggara Timur,2025,1974
262,61,Kalimantan Barat,2025,1894
263,62,Kalimantan Tengah,2025,2113
264,63,Kalimantan Selatan,2025,2172
265,64,Kalimantan Timur,2025,1934
266,65,Kalimantan Utara,2025,1871
267,71,Sulawesi Utara,2025,2051
268,72,Sulawesi Tengah,2025,2016
269,73,Sulawesi Selatan,2025,2092
270,74,Sulawesi Tenggara,2025,1991
271,75,Gorontalo,2025,1987
272,76,Sulawesi Barat,2025,2065
273,81,Maluku,2025,1852
274,82,Maluku Utara,2025,1826
275,92,Papua Barat,2025,1813
276,91,Papua,2025,1745
277,96,Papua Barat Daya,2025,1800
278,94,Papua Tengah,2025,1760
279,95,Papua Pegunungan,2025,2115
280,93,Papua Selatan,2025,1875
